product_name,review_title,review_text,review_date
"GUESS Women's Bradly Gymnastics Shoe, White, 7 UK",Sehr bequemer Schuh,Der Schuh 👟gefällt mir sehr gut. Der ist super bequem und leicht. Binsehr zu frieden. Danke,Reviewed in Germany on 19 February 2021
"GUESS Women's Bradly Gymnastics Shoe, White, 7 UK",Perfetto,"Scarpa perfetta e davvero molto bella la mia ragazza ha apprezzato, venditore molto disponibile !!",Reviewed in Italy on 7 June 2021
"GUESS Women's Bradly Gymnastics Shoe, White, 7 UK",Grandi,"Stupende,forse un po' troppo grandi,ma sicuramente ho sbagliato io",Reviewed in Italy on 27 May 2021
"GUESS Women's Bradly Gymnastics Shoe, White, 7 UK",Stupende,"Molto bello proprio come nelle foto , comode e puoi abbinarci qualsiasi cosaSuper sodisfatta grazie",Reviewed in Italy on 2 October 2021
"adidas Women's Retrorun Shoes Running, Core Black/Cloud White/Alumina, 8 UK",Perfect right outta the box,"True to size. If between I'd probably go with your lower end i.e 8-8.5 go 8. I wore these right out of the box for a little over 2 hours, most of which was walking around and they were incredibly comfortable no rubbing and I did not find any issue with the tongue being too stiff as I have seen mentioned in other reviews.",Reviewed in Canada on 20 October 2021
"adidas Women's Retrorun Shoes Running, Core Black/Cloud White/Alumina, 8 UK",Disappointed,This is the second pair I bought. Loved the first pair however not pleased with the 2nd pair. There is no padding in the tongue part of the shoe and it is causing irritation to my skin where it rubs. I am very disappointed and will not buy them again.,Reviewed in Canada on 21 October 2021
"adidas Women's Retrorun Shoes Running, Core Black/Cloud White/Alumina, 8 UK",Wow!,"I love these shoes so much, it's my second pair, pure comfort!  Thank you Amazon!",Reviewed in Canada on 25 May 2021
"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK",Comfortable and attractive,"I have hard to fit feet and often a wide fitting shoe looks too big and bulky.  These shoes were comfortable right away with no pressure points.  I use them for run around shoes, going to the store, etc.  They look casual but are more attractive than a running shoe.  They have a nice rounded toe box and go with any kind of outfit.  I am very happy with them.",Reviewed in Canada on 8 October 2018
"adidas Women's Retrorun Shoes Running, Core Black/Cloud White/Alumina, 8 UK",かわいいけど、色々残念,足が22cmのため、このサイズを展開しているブランドが少なく購入。デザインは可愛くて満足だが、履き心地は残念。小さいサイズあるあるで、パーツは大きいサイズのものを流用しているように思える。・ベロが長すぎて、足首を曲げるたびにこすれて、すり傷ができる（スニーカーソックスではNG）・インソールの踵から土踏まずのアーチまでの距離が長すぎて、つま先寄りにアーチが来るため、後ろ重心に感じる今回は靴下や中敷きを工夫して履こうと思うが、可愛くてもリピートはしない。,Reviewed in Japan on 10 December 2021
"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK",My right foot fits size 11 fine but not the same for the left foot,"I really need 11 1/2 but these shoes do not come in half sizes.  My right foot fits size 11 fine but not the same for the left foot.  The only issue is the blue insole - my feet perspire and the blue colour runs into my socks.  Also, the round laces look nice but they do not remain tied; they need a knot in the bow to maintain the tie.  They are very attractive shoes and do not look huge in size 12. Thank you. CHL.",Reviewed in Canada on 29 October 2016
"adidas Women's Retrorun Shoes Running, Core Black/Cloud White/Alumina, 8 UK",軽くて履き心地がすごくいいです！,最初少し硬かったけど、すぐに履きやすくなり、軽くて歩きやすいです！,Reviewed in Japan on 14 May 2020
"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK",Great quality and comfort shoes,Great quality and comfort shoesI was so thrilled when I got my new shoes last week! I had bought a pair of a RAVON shoes over two years ago at an expensive shoe store and I did not regret spending the money because they were perfect walking shoes and they gave me plenty of support and I have a bunion on my left big toe and I had plenty of room for that foot. Tmy new ones just like my old pair as far as being comfortable and they keepI got me balanced. By the way my original pair that are 2 1/2 years old are still good but I am using them to mow grass in because I feel safe walking in them. I wanted new ones because I needed some pretty ones that weren’t grungy looking. I am 67And being balanced is ver  important to me. I highly recommend these shoes because of the wonderful quality and comfort and I got them on sale! What a deal so I feel like I won the lottery! Also I neglected to mention they are very classy looking. Very well-made and beautiful and striking.,Reviewed in the United States on 27 August 2020
"adidas Women's Retrorun Shoes Running, Core Black/Cloud White/Alumina, 8 UK",NO SUPPORT! NOT FOR RUNNING!,I would NOT recommend these for running. They have zero support and I could feel the rocks in the ground through the shoe. They are also shaped really weird. The sole protrudes out in the back all around the heel and makes your foot appear much larger than it should.,Reviewed in the United States on 12 July 2020
"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK",Not as supportive as I had hoped for.,"These shoes are cute online but in person...not so much.The shoe is super light weight and flimsy feeling.  Because of this, it feels as if there is no support/stability.My partial orthotic fit well into the heel of the shoe.The shoe not only has aqua-colored accents (shoe string eyelets) but also has an aqua liner throughout the shoe. As I was slipping my socked foot into the shoe for the first time, that inner liner sort of bunched up and made the shoe top look distorted. As if the liner pushed forward and down causing the upper portion and toe of the shoe to twist upward.  Not a nice look.  At that point I decided that I didn't want to struggle with getting the shoe on each time.  I'm returning them.",Reviewed in the United States on 10 May 2016
"adidas Women's Retrorun Shoes Running, Core Black/Cloud White/Alumina, 8 UK",Great pair of shoes!,"Very comfortable! Absolutely love the look and feel of these shoes. They run slightly too big. But, that doesn't take away from the comfort. I'm not sliding around inside them. I'm able to work in them well and workout in them great. Excellent pair of shoes.",Reviewed in the United States on 23 April 2020
"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK",Can’t wear due to Poorly designed insoles,"I like the style and weight of this shoe, just right for wearing all day.  Good quality components.  However, as other reviewers have said, the insole makes wearing these shoes impossible.  The surface of the insoles is some attractive suede fabric which looks like it will be very comfortable.  In fact, the fabric prevents your foot from sliding into the shoe.  I forced my feet in and my toes were uncomfortably turned in on them selves, I could not possibly wear these shoes like that.  I tried stockings and different types of socks with the same difficulty, I just could not push my foot smoothly into the shoe.  Then I tried taking the insole out of another pair of sneakers and putting them in the Aragon’s.  My foot slid right in but when I walked there was no arch support.  Dilemma, should I send them back or go buy 6 or 7 sets of insoles at the drug store to see if any of them will work.  So disappointing.",Reviewed in the United States on 6 October 2018
"adidas Women's Retrorun Shoes Running, Core Black/Cloud White/Alumina, 8 UK",Tongue rubs ankles raw,"The tongue is long, stiff, and rough. It rubs my ankles raw.",Reviewed in the United States on 18 April 2021
"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK",What I was looking for,"I have been trying to find a casual, but not too casual, shoe for work. I wanted an athletic shoe fit in a shoe that doesn't look like an athletic shoe. This is pretty close. It works well with chinos or colored denim. They would not look right with ""dress"" pants, but for business casual, it's good. I'm always between 8 and 8.5. I went with an 8 and they fit perfectly.  I also need good support and these are reasonable. I have another pair of Aravon shoes (mary jane) and they also work well. I think this is good brand.",Reviewed in the United States on 10 June 2019
"adidas Women's Retrorun Shoes Running, Core Black/Cloud White/Alumina, 8 UK",Not for slippery surfaces/no tread,I thought they were really cute and fit good but after I decided to wear them around for a day I mopped the floor like I Do every day and I almost slipped so the shoes will not be good for me and my lifestyle very slippery pretty much no tread it would be good for walking as long as you’re never honest with Service but I wouldn’t want to take my chances so back to Searching for a new pair of shoes,Reviewed in the United States on 10 July 2021
"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK",but it's frequent enough with certain socks that it becomes annoying to have to stop and pull my socks up ...,"I'd give them 5 stars if it weren't for the fact that the material on the inside of the shoe keeps pulling on my socks, it's not all the time, but it's frequent enough with certain socks that it becomes annoying to have to stop and pull my socks up which find their way down into my shoes after walking for 10-15 min, also the laces don't seem to stay tied, my recommendation is to buy socks that are really snug around your ankles and use a different pair of laces.... besides that, I think the shoes are really cute, love the choice of brown and blue, I think they work well together, also the shoe has pretty good support, I use my own inserts which fit well in the shoe, but like I said if you don't, the original inserts are pretty good",Reviewed in the United States on 1 May 2017
"adidas Women's Retrorun Shoes Running, Core Black/Cloud White/Alumina, 8 UK",Super cuter sneakers.,I bought these as a birthday present for myself. I originally wanted to use them as my new jogging shoes. The tongue of the shoe is just too stiff for that though. I am still happy with the shoes cuz they are super cute. Besides the stiff tongue my only other complaint is they seem a tad larger than my other size tens. I have a little more space than I like to have. Otherwise completely awesome!,Reviewed in the United States on 6 January 2021
"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK","Cute, but small","I was so excited to find these shoes. They are super cute!  They were too small, however, and I cannot find the larger size I need.  When I tried them on, they were really stiff and a bit tight.  Who knows maybe they would stretch out as I wore them, but they just didn't fit.  I am disappointed that I can't find the size I need anywhere, but will keep looking.",Reviewed in the United States on 28 November 2020
"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK",Nice lightweight comfort shoe,"It's a very comfortable and lightweight shoe.  I found it to be pretty true for a size 10, but all shoes run differently.  Other reviews said it ran small, but I didn't find that the case. I bought the 10D width.  The wider width doesn't look odd, it fits the shoe well and my foot.",Reviewed in the United States on 8 August 2016
"Aravon Women's Betty-AR Oxfords, Stone, 5.5 UK",Total Comfort,Two years ago I bought this same exact shoes.  I wore them always when choosing a stylish athletic shoe. Originally I bought them when our family was going to go to The Ark in Kentucky and knew we would be doing alot of walking.there has never been a time that my feet hurt when I wear these shoes. And I get compliments often as to how cute they look.  So best shoes for me for comfort and style! Bought them again to update and bought an additional pair in black.,Reviewed in the United States on 12 November 2019
"Naturino Unisex Babies Cocoon First Walker Shoe, Zucca, 1.5 UK",Schmerzen am Kind...,"An sich wunderschöner Schuh, auspacken und direkt meinem Kind angezogen. Das Kind geht 2 Schritte und fängt bitterlich an zu weinen... Sofort Schuhe ausgezogen und mal geschaut was da los ist. Es war nen für Kleinkinderschuhe wirklich großer Knick in der Inneneinlage der sich auch nicht wirklich begradigen lässt. Bedauerlich, wo doch der Schuh an sich nicht im Discounter Sektor liegt. Da hätte ich wirklich mehr erwartet.",Reviewed in Germany on 15 December 2021
"Naturino Unisex Babies Cocoon First Walker Shoe, Zucca, 1.5 UK",Aus der Anzeige es wird nicht klar welche Größe es ist,Auf einem der Fotos steht auf der Sohle die gr 26.Die Schuhe die mit verschickt wurden ist die Gr 19...Habe keine Antwort auf meine Frage vor einigen  Tagen bekommen welche Größe das tatsächlich ist.,Reviewed in Germany on 11 October 2021
"Merrell Boys' Burnt Rock Low Sneaker, Black, 13.5 Medium US Little Kid","May work for a ""B"" width foot","Grandson couldn't even get them on, they are so tightly cut.",Reviewed in the United States on 22 January 2021
"Merrell Boys' Burnt Rock Low Sneaker, Black, 13.5 Medium US Little Kid",Fell apart after one week,"The laces broke after slightly over one week of use. Horrible quality. Before it broke, my son complained it was very uncomfortable, as the metal grommets on the sides rub against the side of his foot.",Reviewed in the United States on 22 December 2019
"adidas Daily 3.0 Skate Shoe, Grey, 3 US Unisex Little Kid",Nice Shoes,Nice pair of shoes,Reviewed in Canada on 7 August 2021
"adidas Daily 3.0 Skate Shoe, Grey, 3 US Unisex Little Kid",Thank you!,"These shoes are cute and jus fine. I wanted to comment on the company actually. I bought these for a wedding for my son to wear and they weren’t going to arrive in time.  I reached out to Amazon with no luck. I finally contacted the company directly and they said they didn’t think they could get them to me in time because of how the process works. However, I literally received these the very next day. Whoever I spoke to, thank you, you obviously went out of your way to get these pulled and shipped to me and I can’t thank you enough. They made it on time and the wedding was gorgeous!!My son kept the shoes on all night and now wears them when he wants to dress up casual  ..he says they are comfy and shoe laces are long enough he can tie them easily",Reviewed in the United States on 22 October 2021
"adidas Daily 3.0 Skate Shoe, Grey, 3 US Unisex Little Kid",Not your average skate shoe. They’re attractive!,"When my 8 year old asked for “skate shoes”, I could only picture AirWalks or Vans (which are cute, but don’t fit their wide feet well). I began searching and found these. They are not just skate shoes, but also adorable and good, Adidas quality.",Reviewed in the United States on 6 January 2021
"adidas Daily 3.0 Skate Shoe, Grey, 3 US Unisex Little Kid",Great shoe - great price - runs big,"Great looking shoe at a great price! I got these in the gray with black stripes and the black with white stripes. Looks exactly like the ones I got from the store that were $20 more. They run big. I wear a women’s 7 in most shoes. I measured my foot on the big kids Adidas size chart and according to it, I should get a 6.5. I got the 6 because they didn’t have any other sizes and based on other reviews from women I was hoping they would work out. They’re big. I measured them against the men’s 7 I had from the store and there wasn’t much difference between the 6 and 7. They measured the same as the men’s 6.5 I had from the store. I would’ve ordered a 5 if they were available. It’s hard to guess with the weird sizing situation. Hopefully putting in some insoles will help because I want to keep them.",Reviewed in the United States on 23 November 2021
"adidas Daily 3.0 Skate Shoe, Grey, 3 US Unisex Little Kid",My son loves these shoes,Very nice shoes. Got them when they were on sale and they are really nice.,Reviewed in the United States on 5 December 2021
"adidas Daily 3.0 Skate Shoe, Grey, 3 US Unisex Little Kid",Comfortable in style,The shoes fit as expected. I bought these for my seven year old son. He loves how comfortable they are. Definitely worth the buy!,Reviewed in the United States on 24 July 2021
"adidas Daily 3.0 Skate Shoe, Grey, 3 US Unisex Little Kid",Very cute,Kid loves them. Good fit and comfortable.,Reviewed in the United States on 6 October 2021
"adidas Daily 3.0 Skate Shoe, Grey, 3 US Unisex Little Kid",Very comfortable,These shoes fit well and are comfortable.,Reviewed in the United States on 22 September 2021
"adidas Daily 3.0 Skate Shoe, Grey, 3 US Unisex Little Kid",Stylish with a sturdy canvas and a thick sole.,"My son likes it. However he said it's heavy. Other than that, it's a great shoe.",Reviewed in the United States on 31 March 2021
"adidas Daily 3.0 Skate Shoe, Grey, 3 US Unisex Little Kid",Awesome!!!,"Brought these for my grandson,  and I'm told it fits him perfectly and he loves them.  He don't ever want to take them off.",Reviewed in the United States on 1 November 2021
"Tom Tailor 2171201 Mid Calf Boot, Cognac, 3.5 UK",Sehr empfindlich,Die Oberfläche ist sehr empfindlich und sieht nicht lange schön aus wenn man Jungs hat die gerne draußen toben,Reviewed in Germany on 29 November 2021
"ASICS Women's 1012A699-003_42 Running Shoes, Black, 7.5 UK",厚底は慣れるまでは慎重に。,厚底とアーチが足を前に出す機能をゆっくり走る時に強く効果を感じますね。ただ初の厚底だったので、走る環境も考えて走らないといけないと思います。いつも通りに走ってしまうと着地不安定となり転倒してしまうかもしれません。転倒して顔面強打、頬骨ヒビ入りましたので、慎重に徐々に慣らしていきましょう。,Reviewed in Japan on 25 April 2021
"ASICS Women's 1012A699-003_42 Running Shoes, Black, 7.5 UK",つま先は細めです,23、5は小さすぎたので交換してもらいました。,Reviewed in Japan on 26 April 2020
"Superfit Breeze Walkers, Blue/Blue 8010, 5 UK Child","Toller Schuh, schlechte Qualität!!!",Eigentlich ein ganz toller und bequemer Schuh von Superfit. Ich weiß nicht warum der Hersteller die Sohle so billig hergestellt hat. Nach ein paar mal anziehen ging die weiße Schukappe schon ab. Sollte bei teuren Markenschuhen ein No-Go sein.,Reviewed in Germany on 20 September 2021
"HÖGL Women's Plain Sneaker, White, 6 UK",Perfekt schuche,Komfort und perfekt schucse,Reviewed in Germany on 10 August 2021
"Superfit Breeze Walkers, Blue/Blue 8010, 5 UK Child",Fällt schmäler aus,"Ein wunderschöner Lederschuh, der allerdings deutlich schmäler ausfällt. Eigentlich trägt unser Sohn die mittlere Breite, hier handelt es sich eher um die schmale Ausführung. Daher ging der Schuh leider retour. Sehr ungewöhnlich für Superfit",Reviewed in Germany on 15 April 2021
"Superfit Breeze Walkers, Blue/Blue 8010, 5 UK Child",Lieblingsschuh!,Unser Tochter (20 M) zieht diese Schuhe sehr gerne an und läuft damit auch gerne herum.Abgesehen davon ist Farbe/Modell sehr schön!,Reviewed in Germany on 20 June 2021
"Superfit Breeze Walkers, Blue/Blue 8010, 5 UK Child",Top,Beste Schuhe von Superfit generell. Wir sind immer zufrieden und dieser Schuh gefällt mir persönlich sehr gut,Reviewed in Germany on 3 November 2021
"Superfit Breeze Walkers, Blue/Blue 8010, 5 UK Child",Toller Kinderschuh,"Super, hochwertiger Kinderschuh. Meine Tochter fährt voll darauf ab.",Reviewed in Germany on 13 September 2021
"PUMA EL Rey 2 Slip ON Sneaker, Desert Sage-Gray Violet, 5 US Unisex Big Kid",Buen diseño,Muy cómodo para el Niño,Reviewed in Mexico on 9 December 2021
"PUMA EL Rey 2 Slip ON Sneaker, Desert Sage-Gray Violet, 5 US Unisex Big Kid",Too Hard For My Son To Get On,It’s a tight fit! The top part doesn’t open so it made  it super hard for my son to get the shoe on. We ended up returning the shoes! If #Puma will make it so that the top part can open and then possible Velcro closed or maybe zipper it would be awesome so kids can easily slide their feet in!!,Reviewed in the United States on 14 June 2021
"PUMA EL Rey 2 Slip ON Sneaker, Desert Sage-Gray Violet, 5 US Unisex Big Kid",Good Quality,This product fits well but may not be ideal for a child that has wide feet. The strap across the top has some stretch but it is very thick and does not stretch easily which may make it difficult for a wider foot to get pass that section. The entire shoe is made very well.,Reviewed in the United States on 8 August 2021
"PUMA EL Rey 2 Slip ON Sneaker, Desert Sage-Gray Violet, 5 US Unisex Big Kid",Tight fit,Difficult to put on. They are too hard.,Reviewed in the United States on 3 May 2021
"PUMA EL Rey 2 Slip ON Sneaker, Desert Sage-Gray Violet, 5 US Unisex Big Kid",Son says awesome shoes; mom says go down a size,Son loves them and is willing to double up in sock layers to make fit. Would recommend going a half size down. My son is 4.5 big kids by size measurements but could easily have fit for a long while in a 4,Reviewed in the United States on 20 January 2021
"PUMA EL Rey 2 Slip ON Sneaker, Desert Sage-Gray Violet, 5 US Unisex Big Kid",Love them,My Grandson loves his Puma's and so do I ❣️,Reviewed in the United States on 22 September 2021
"PUMA EL Rey 2 Slip ON Sneaker, Desert Sage-Gray Violet, 5 US Unisex Big Kid","great , my son loves it",No complains,Reviewed in the United States on 26 March 2021
"PUMA EL Rey 2 Slip ON Sneaker, Desert Sage-Gray Violet, 5 US Unisex Big Kid",Apretado de la parte de arriba,Muy lindos pero aprietan de la parte de Arriba,Reviewed in the United States on 8 December 2021
"PUMA EL Rey 2 Slip ON Sneaker, Desert Sage-Gray Violet, 5 US Unisex Big Kid",wrong  shoes size came,I order  a size 11 kids size shoes received  and 10 it's very tight on my child foot. elastic  that run across cant expands.  sorry I every purchased  this damn shoes,Reviewed in the United States on 15 February 2021
"PUMA EL Rey 2 Slip ON Sneaker, Desert Sage-Gray Violet, 5 US Unisex Big Kid",Producto Original,"Producto original, de buena calidad. Talla justa, Cumplió las expectativas.",Reviewed in the United States on 15 January 2021
Beck Boys Bones Wellington rain boots,Sehr gute Winterstiefel!,Mein 4- jähriger Sohn liebt diese Stiefel und möchte seine anderen Schuhe nicht mehr tragen. Er hat in den Stiefeln keine Schweißfüße wie in einigen anderen Schuhen. Er läuft sehr gut  darin und hat auch bei eisigen Temperaturen keine kalten Füße. Die Stiefel sind meiner Meinung nach von einer sehr guten Qualität und deshalb etwas schwerer. Meinen Sohn stört das überhaupt nicht. Er kommt perfekt rein und wieder raus (das war bei anderen Stiefeln problematischer). Das Highlight für ihn ist natürlich das blinken. Ich werde die Stiefel auch wohl im nächsten Winter kaufen.,Reviewed in Germany on 10 January 2018
Beck Boys Bones Wellington rain boots,Perfekt auch für etwas breitere Kinderfüße,"Beck Gummistiefel begleiten uns nun schon einige Jahre. Passform super, vorallem, wenn die Füße etwas breiter geschnitten sind. Klare Kaufempfehlung. Die Leuchtfunktion beim Gehen ein Highlight für die Kleinen. Schuhe halten die Füße im Herbst und Winter schön warm. Wir haben dieses Modell schon das zweite Jahr im Einsatz.",Reviewed in Germany on 7 April 2020
Beck Boys Bones Wellington rain boots,Super Gummistiefel,"Habe die Gummistiefel für meine beiden Kinder gekauft. Und sie wurden ausgiebig im Urlaub, am Strand und in Pfützen, getestet. Die Gummistiefel haben den Test bestanden und bekommen 5 Sterne.★ entsprechen der angegebene Größe, genug Platz auch mit dicken Socken★ Wasserdicht★ halten kleine Füße warm und trocken★ schönes Design★ blinkende Sohle, sehr gut sichtbar im dunkelnKann diese Stiefel nur empfehlen 👍",Reviewed in Germany on 29 October 2019
Beck Boys Bones Wellington rain boots,"Robuste, warme Winter-Gummistiefel","Ich habe diese Gummistiefel nun das zweite Mal bestellt, aus den ersten ist mein Söhnchen herausgewachsen. Die Gummistiefel sind sehr robust: Sie haben ein ganzes Kindergartenjahr vergleichsweise gut überstanden! Sie halten warm und trocken. Es stimmt, dass die Stiefel etwas schwerer sind als andere Gummistiefel, aber meinen Sohn hat das nicht gestört oder beim Laufen behindert. Ein paar kleine Kritikpunkte: Die Blinkfunktion hat im Laufe des Jahres den Geist aufgegeben... auch riechen die Stiefel leicht nach Chemie, wenn sie noch ganz neu sind.",Reviewed in Germany on 15 January 2020
Beck Boys Bones Wellington rain boots,Schöner Jungen Stiefel,Die Gummistiefel sind sehr schön verarbeitet und unser Sohn liebt sie. Nebst der guten Verarbeitung ist der Leuchteffekt sehr ansprechend und unser Sohn ist gut zu sehen. Der Leuchteffekt bleibt auch bei starker Verschmutzung bestehen und die Schuhe lassen sich sehr gut reinigen.,Reviewed in Germany on 16 November 2021
Beck Boys Bones Wellington rain boots,Gute Wintergummistiefel,"Mein Sohn ist sehr zufrieden. Die Stiefel sind gut verarbeitet und halten im Winter die Füsse schön trocken und warm. Sie sind von innen vollständig mit einem kuscheligen Kunstfell gefüttert und von außen im ganzen mit durchsichtigem Gummi überzogen. Das Dinosaurierskelettmuster ist schön und perfekt für alle Dinofans. Die Ferse blinkt beim gehen, was im dunklen Winter nur vom Vorteil sein kann. Der Stiefel fällt etwas groß aus. Sollte vielleicht lieber eine Größe kleiner bestellt werden. Alles im ganzen ein guter Wintergummistiefel zum relativ günstigen Preis.",Reviewed in Germany on 17 December 2019
Beck Boys Bones Wellington rain boots,Toll für Dinofans,"Sohnemann brauchte neue Gummistiefel und diese fand er optisch sehr schön, also bestellt.Leider passten die ersten nicht, weshalb wir sie dann nochmal größer bestellt haben.Er ist jetzt sehr zufrieden, sie blinken, halten trockenbund sind innen auch noch etwas flauschig und daher etwas wärmer als andere Stiefel.",Reviewed in Germany on 4 January 2021
"Camper Men's Formiga Chukka Boat, Black, 5.5",Resistentes,"Resistentes, no entra agua los días de lluvia y con un diseño informal que tanto sirve para llevar con uniforme al colegio o para unos vaqueros en fin de semana. Perfectos",Reviewed in Spain on 15 November 2021
Beck Boys Bones Wellington rain boots,Schöne Stiefel aber ziemlich schwer,"Die Stiefel sehen schön aus und die Blinklichter funktionieren einwandfrei. Allerdings sind die Stiefel schon ziemlich schwer und scheinen von der Passform nicht besonders gut zu sein. Mein Sohn hat es nach zwei Versuchen sein lassen, da er keinen guten halt hatte und somit nicht bequem damit laufen konnte.",Reviewed in Germany on 26 June 2018
"Camper Men's Formiga Chukka Boat, Black, 5.5","Nice, but no Camper 'feeling'","Very nice boots. I had hoped the shoe laces would be flexible and integrated like most Camper shoes. Here you get regular laces, and as such, you don't get the Camper 'feeling' or practicality of putting them on and off quickly. They are quite light, which is a plus.",Reviewed in Germany on 26 December 2020
Beck Boys Bones Wellington rain boots,sehr zufrieden,die Lieferung kam sehr schnell und gut verpackt bei mir an.die Schuhe sind wie in den Angaben beschrieben.mein Kind hat sich sehr gefreut.ich bin sehr zufrieden mit dem Preis und der Qualität.,Reviewed in Germany on 12 February 2021
"Camper Men's Formiga Chukka Boat, Black, 5.5",Sehr bequem,"Suuuuper bequeme Schuhe, mein Mann sagt, er läuft wie auf Wolken!Passen perfekt!",Reviewed in Germany on 20 June 2021
Beck Boys Bones Wellington rain boots,Hasarlı,Güzel bir yagmur çizmesi ama paket geldiginde actim ve hasarli oldugunu gördüm.. Kalite olarak güzelNeden göndermeden önce nce kontrolünü yapmıyorsunuz anlayamadim..,Reviewed in Germany on 15 October 2021
"Desconocido Women's Multisport W148 Kso Lace-Up Flats black Size:, Negro (Schwarz (Black)), 2 UK (34 EU)",Not What I Expected,It took me a half hour to get these shoes on. Not practical. I returned the item and am still waiting for my refund.,Reviewed in the United States on 6 June 2013
"Lumberjack Levi Open Toe Sandals, Blue (Navy Blue Cc001), 12 UK Child",Sandaletti ben fatti!,"Sono rifiniti molto bene, la soletta e’ scamosciata, così il piede non suda. All’esterno sono di stoffa, ma all’interno, a contatto con la pelle, hanno un ulteriore rivestimento per proteggere il piedino.La calzata e’ regolare.Sono molto soddisfatta di questo acquisto 👍",Reviewed in Italy on 2 July 2021
"Lumberjack Levi Open Toe Sandals, Blue (Navy Blue Cc001), 12 UK Child",Buone,"Ho comprato questo sandali a mio figlio di 7 anni, devo dire che a lui piacciono tanto, ma calzano esatte, quindi consiglio un numero in più rispetto a quello del piede effettivo",Reviewed in Italy on 13 June 2021
"Lumberjack Levi Open Toe Sandals, Blue (Navy Blue Cc001), 12 UK Child",Ottimo acquisto,Scarpa molto carina e resistente. Mio figlio ci cammina e corre benissimo. Comode e pratiche da indossare. Soddisfatta anche del prezzo .,Reviewed in Italy on 18 July 2020
"Lumberjack Levi Open Toe Sandals, Blue (Navy Blue Cc001), 12 UK Child",OTTIME,"OTTIMO PRODOTTO COME GARANTISCE LA STESSA MARCA, TAGLIA FEDELE AI CENTIMETRI",Reviewed in Italy on 13 June 2019
"Lumberjack Levi Open Toe Sandals, Blue (Navy Blue Cc001), 12 UK Child",Rese,"Non mi piacciano, non calzano bene, ho cambiato due volte i numeri prima uno più grande e poi uno più piccolo… maleInsoddisfatta ….le ho rese !!!!!",Reviewed in Italy on 28 June 2021
